nome,squadra,ruolo,posizione_raw,nazionalita,eta,presenze,titolarita,minuti,gol,assist,xG,xA,gialli,rossi,punteggio,valore_crediti,quotato,ha_dati_avanzati,dati_incompleti
Lautaro Martínez,Inter,A,FW,ARG,27,30,27,2159,17,6,17.14,6.29,4,0,85.0903333333333,106,True,True,False
Marcus Thuram,Inter,A,FW,FRA,27,29,24,1900,13,6,11.9,4.47,2,0,66.02866666666668,85,True,True,False
Rasmus Højlund,Napoli,A,FW,DEN,22,33,32,2750,12,5,13.31,3.27,1,0,64.66733333333333,84,True,True,False
Donyell Malen,Roma,A,FW,NED,26,18,18,1467,14,2,15.2,1.55,1,0,64.465,84,True,True,False
Anastasios Douvikas,Como,A,FW,GRE,25,38,25,2273,14,1,15.17,2.24,0,0,65.18633333333332,84,True,True,False
Nikola Krstović,Atalanta,A,FW,MNE,25,33,18,1791,10,5,15.67,3.23,4,0,59.427,78,True,True,False
Keinan Davis,Udinese,A,FW,ENG,27,30,27,2065,10,4,9.89,4.33,5,0,52.60766666666667,70,True,True,False
Giovanni Simeone,Torino,A,FW,ARG,30,32,27,2230,11,0,11.18,1.86,1,0,50.34866666666667,68,True,True,False
Armand Laurienté,Sassuolo,A,FW,FRA,26,38,33,2592,7,9,4.39,8.51,4,0,48.343999999999994,66,True,True,False
Andrea Pinamonti,Sassuolo,A,FW,ITA,26,36,32,2552,9,3,11.53,1.78,2,1,49.05733333333333,66,True,True,False
Rafael Leão,Milan,A,FW,POR,26,29,23,1851,9,3,9.6,4.98,5,0,47.893,65,True,True,False
Moise Kean,Fiorentina,A,FW,ITA,25,26,23,2036,8,1,15.38,0.06,4,0,46.63533333333332,64,True,True,False
Christian Pulisic,Milan,A,FW,USA,26,30,18,1609,8,4,9.54,5.04,0,0,46.05366666666666,63,True,True,False
Mateo Pellegrino,Parma,A,FW,ARG,24,37,34,2984,9,1,9.91,2.14,5,0,46.199333333333335,63,True,True,False
Gianluca Scamacca,Atalanta,A,FW,ITA,26,24,16,1315,10,1,8.87,1.36,2,0,43.75166666666666,60,True,True,False
Jonathan David,Juventus,A,FW,CAN,25,35,20,1781,6,4,11.46,4.23,0,0,42.65833333333333,59,True,True,False
Domenico Berardi,Sassuolo,A,FW,ITA,30,26,24,1958,8,4,6.78,5.06,2,1,42.535333333333334,59,True,True,False
