nome,squadra,ruolo,eta,presenze,minuti,gol,assist,xG,xA,gialli,rossi,quotazione_ufficiale,correttivo_statistico,valore_finale,analizzato,note_match
Lautaro Martínez,Inter,A,27,30,2159,17,6,17.14,6.29,4,0,88,1.261,111,True,"match su cognome+squadra, spareggiato su non-portiere"
Donyell Malen,Roma,A,26,18,1467,14,2,15.2,1.55,1,0,84,1.164,98,True,match su cognome+squadra
Rasmus Højlund,Napoli,A,22,33,2750,12,5,13.31,3.27,1,0,78,1.165,91,True,match su cognome+squadra
Marcus Thuram,Inter,A,27,29,1900,13,6,11.9,4.47,2,0,74,1.171,87,True,match su cognome+squadra
Kenan Yıldız,Juventus,A,20,36,2825,10,6,8.63,10.82,2,0,70,1.141,80,True,match su cognome+squadra
Ramos,Milan,A,,,,,,,,,,78,1.0,78,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Anastasios Douvikas,Como,A,25,38,2273,14,1,15.17,2.24,0,0,65,1.167,76,True,match su cognome+squadra
Kolo Muani,Juventus,A,,,,,,,,,,76,1.0,76,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Rafael Leão,Milan,A,26,29,1851,9,3,9.6,4.98,5,0,65,1.086,71,True,match su cognome+squadra
Moise Kean,Fiorentina,A,25,26,2036,8,1,15.38,0.06,4,0,64,1.08,69,True,match su cognome+squadra
Keinan Davis,Udinese,A,27,30,2065,10,4,9.89,4.33,5,0,61,1.108,68,True,match su cognome+squadra
Nikola Krstović,Atalanta,A,25,33,1791,10,5,15.67,3.23,4,0,56,1.14,64,True,match su cognome+squadra
Gianluca Scamacca,Atalanta,A,26,24,1315,10,1,8.87,1.36,2,0,60,1.066,64,True,match su cognome+squadra
Giovanni Simeone,Torino,A,30,32,2230,11,0,11.18,1.86,1,0,57,1.097,63,True,match su cognome+squadra
Santiago Castro,Roma,A,20,35,2359,7,2,8.3,2.73,3,0,57,1.044,60,True,"match su cognome (squadra diversa, trasferimento presunto)"
Andrea Pinamonti,Sassuolo,A,26,36,2552,9,3,11.53,1.78,2,1,54,1.091,59,True,match su cognome+squadra
