nome,squadra,ruolo,eta,presenze,minuti,gol,assist,xG,xA,gialli,rossi,quotazione_ufficiale,correttivo_statistico,valore_finale,analizzato,note_match,fattore_affidabilita,note_fbref,valore_v4
Lautaro Martínez,Inter,A,27,30,2159,17,6,17.14,6.29,4,0,88,1.261,111,True,"match su cognome+squadra, spareggiato su non-portiere",1.025,"nome completo -- titolarita' 90%, minuti giocati 63% del possibile",114
Donyell Malen,Roma,A,26,18,1467,14,2,15.2,1.55,1,0,84,1.164,98,True,match su cognome+squadra,1.014,"nome completo -- titolarita' 100%, minuti giocati 43% del possibile",99
Rasmus Højlund,Napoli,A,22,33,2750,12,5,13.31,3.27,1,0,78,1.165,91,True,match su cognome+squadra,1.051,"nome completo -- titolarita' 97%, minuti giocati 80% del possibile",96
Marcus Thuram,Inter,A,27,29,1900,13,6,11.9,4.47,2,0,74,1.171,87,True,match su cognome+squadra,1.009,"nome completo -- titolarita' 83%, minuti giocati 56% del possibile",88
Kenan Yıldız,Juventus,A,20,36,2825,10,6,8.63,10.82,2,0,70,1.141,80,True,match su cognome+squadra,1.048,"nome completo -- titolarita' 92%, minuti giocati 83% del possibile",84
Ramos,Milan,A,,,,,,,,,,78,1.0,78,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,78
Anastasios Douvikas,Como,A,25,38,2273,14,1,15.17,2.24,0,0,65,1.167,76,True,match su cognome+squadra,1.002,"nome completo -- titolarita' 66%, minuti giocati 66% del possibile",76
Kolo Muani,Juventus,A,,,,,,,,,,76,1.0,76,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,76
Rafael Leão,Milan,A,26,29,1851,9,3,9.6,4.98,5,0,65,1.086,71,True,match su cognome+squadra,1.004,"nome completo -- titolarita' 79%, minuti giocati 54% del possibile",71
Moise Kean,Fiorentina,A,25,26,2036,8,1,15.38,0.06,4,0,64,1.08,69,True,match su cognome+squadra,1.019,"nome completo -- titolarita' 88%, minuti giocati 60% del possibile",70
Keinan Davis,Udinese,A,27,30,2065,10,4,9.89,4.33,5,0,61,1.108,68,True,match su cognome+squadra,1.022,"nome completo -- titolarita' 90%, minuti giocati 60% del possibile",69
Nikola Krstović,Atalanta,A,25,33,1791,10,5,15.67,3.23,4,0,56,1.14,64,True,match su cognome+squadra,0.975,"nome completo -- titolarita' 55%, minuti giocati 52% del possibile",62
Gianluca Scamacca,Atalanta,A,26,24,1315,10,1,8.87,1.36,2,0,60,1.066,64,True,match su cognome+squadra,0.973,"nome completo -- titolarita' 67%, minuti giocati 38% del possibile",62
Giovanni Simeone,Torino,A,30,32,2230,11,0,11.18,1.86,1,0,57,1.097,63,True,match su cognome+squadra,1.021,"nome completo -- titolarita' 84%, minuti giocati 65% del possibile",64
Santiago Castro,Roma,A,20,35,2359,7,2,8.3,2.73,3,0,57,1.044,60,True,"match su cognome (squadra diversa, trasferimento presunto)",1.014,"nome completo -- titolarita' 74%, minuti giocati 69% del possibile",61
Andrea Pinamonti,Sassuolo,A,26,36,2552,9,3,11.53,1.78,2,1,54,1.091,59,True,match su cognome+squadra,1.036,"nome completo -- titolarita' 89%, minuti giocati 75% del possibile",61
Matías Soulé,Roma,A,22,33,2139,6,5,4.68,4.46,1,0,56,1.035,58,True,match su cognome+squadra,1.019,"nome completo -- titolarita' 85%, minuti giocati 62% del possibile",59
Jonathan David,Juventus,A,25,35,1781,6,4,11.46,4.23,0,0,50,1.061,53,True,match su cognome+squadra,0.978,"nome completo -- titolarita' 57%, minuti giocati 52% del possibile",52
Mateo Pellegrino,Fiorentina,A,24,37,2984,9,1,9.91,2.14,5,0,48,1.078,52,True,"match su cognome (squadra diversa, trasferimento presunto)",1.053,"nome completo -- titolarita' 92%, minuti giocati 87% del possibile",55
Domenico Berardi,Sassuolo,A,30,26,1958,8,4,6.78,5.06,2,1,48,1.061,51,True,match su cognome+squadra,1.021,"nome completo -- titolarita' 92%, minuti giocati 57% del possibile",52
Christopher Nkunku,Milan,A,27,32,1356,7,3,9.94,1.61,0,0,49,1.047,51,True,match su cognome+squadra,0.953,"nome completo -- titolarita' 47%, minuti giocati 40% del possibile",49
Ché Adams,Torino,A,29,33,1893,6,2,6.61,3.21,0,0,50,1.018,51,True,match su cognome+squadra,0.982,"nome completo -- titolarita' 58%, minuti giocati 55% del possibile",50
Armand Laurienté,Sassuolo,A,26,38,2592,7,9,4.39,8.51,4,0,46,1.088,50,True,match su cognome+squadra,1.035,"nome completo -- titolarita' 87%, minuti giocati 76% del possibile",52
Paulo Dybala,Roma,A,31,22,1354,2,6,6.29,6.36,0,0,50,0.994,50,True,match su cognome+squadra,0.976,"nome completo -- titolarita' 68%, minuti giocati 40% del possibile",49
Sebastiano Esposito,Cagliari,A,23,36,2675,7,5,5.74,5.58,6,0,40,1.061,42,True,match su cognome+squadra,1.046,"nome completo -- titolarita' 94%, minuti giocati 78% del possibile",44
Francesco Esposito,Inter,A,20,35,1571,7,3,9.86,2.06,1,0,40,1.05,42,True,match su cognome+squadra,0.956,"nome completo -- titolarita' 43%, minuti giocati 46% del possibile",40
Duván Zapata,Torino,A,34,28,1103,3,1,4.4,2.68,0,0,43,0.95,41,True,match su cognome+squadra,0.937,"nome completo -- titolarita' 39%, minuti giocati 32% del possibile",38
